VARA DO TRABALHO DE ALEGRETE;46877;VT Alegrete
VARA DO TRABALHO DE ALVORADA;46878;VT Alvorada
VARA DO TRABALHO DE ARROIO GRANDE;46879;VT Arroio Grande
1A VARA DO TRABALHO DE BAGE;46880;1ª Bagé
2A VARA DO TRABALHO DE BAGE;46881;2ª Bagé
POSTO DA JT DE DOM PEDRITO;46882;Posto de Dom Pedrito
1A VARA DO TRABALHO DE BENTO GONCALVES;46883;1ª Bento Gonçalves
2A VARA DO TRABALHO DE BENTO GONCALVES;46884;2ª Bento Gonçalves
POSTO DA JT DE NOVA PRATA;46885;Posto de Nova Prata
VARA DO TRABALHO DE CACHOEIRA DO SUL;46886;VT Cachoeira do Sul
1A VARA DO TRABALHO DE CACHOEIRINHA;46887;1ª Cachoeirinha
2A VARA DO TRABALHO DE CACHOEIRINHA;46888;2ª Cachoeirinha
VARA DO TRABALHO DE CAMAQUA;46889;VT Camaquã
POSTO DA JT DE SAO LOURENCO DO SUL;46890;Posto de São Lourenço do Sul
1A VARA DO TRABALHO DE CANOAS;46891;1ª Canoas
2A VARA DO TRABALHO DE CANOAS;46892;2ª Canoas
3A VARA DO TRABALHO DE CANOAS;46893;3ª Canoas
4A VARA DO TRABALHO DE CANOAS;46894;4ª Canoas
5A VARA DO TRABALHO DE CANOAS;46895;5ª Canoas
VARA DO TRABALHO DE CARAZINHO;46896;VT Carazinho
1A VARA DO TRABALHO DE CAXIAS DO SUL;46897;1ª Caxias do Sul
2A VARA DO TRABALHO DE CAXIAS DO SUL;46898;2ª Caxias do Sul
3A VARA DO TRABALHO DE CAXIAS DO SUL;46899;3ª Caxias do Sul
4A VARA DO TRABALHO DE CAXIAS DO SUL;46900;4ª Caxias do Sul
5A VARA DO TRABALHO DE CAXIAS DO SUL;46901;5ª Caxias do Sul
6A VARA DO TRABALHO DE CAXIAS DO SUL;46902;6ª Caxias do Sul
VARA DO TRABALHO DE CRUZ ALTA;46903;VT Cruz Alta
VARA DO TRABALHO DE ENCANTADO;46904;VT Encantado
1A VARA DO TRABALHO DE ERECHIM;46905;1ª Erechim
2A VARA DO TRABALHO DE ERECHIM;46906;2ª Erechim
3A VARA DO TRABALHO DE ERECHIM;46907;3ª Erechim
VARA DO TRABALHO DE ESTANCIA VELHA;46908;VT Estância Velha
1A VARA DO TRABALHO DE ESTEIO;46909;1ª Esteio
2A VARA DO TRABALHO DE ESTEIO;46910;2ª Esteio
1A VARA DO TRABALHO DE ESTRELA;46911;1ª Estrela
2A VARA DO TRABALHO DE ESTRELA;46912;2ª Estrela
VARA DO TRABALHO DE FARROUPILHA;46913;VT Farroupilha
VARA DO TRABALHO DE FREDERICO WESTPHALEN;46914;VT Frederico Westphalen
1A VARA DO TRABALHO DE GRAMADO;46915;1ª Gramado
2A VARA DO TRABALHO DE GRAMADO;46916;2ª Gramado
1A VARA DO TRABALHO DE GRAVATAI;46917;1ª Gravataí
2A VARA DO TRABALHO DE GRAVATAI;46918;2ª Gravataí
3A VARA DO TRABALHO DE GRAVATAI;46919;3ª Gravataí
4A VARA DO TRABALHO DE GRAVATAI;46920;4ª Gravataí
VARA DO TRABALHO DE GUAIBA;46921;VT Guaiba
VARA DO TRABALHO DE IJUI;46922;VT Ijuí
VARA DO TRABALHO DE LAGOA VERMELHA;46923;VT Lagoa Vermelha
1A VARA DO TRABALHO DE LAJEADO;46924;1ª Lajeado
2A VARA DO TRABALHO DE LAJEADO;46925;2ª Lajeado
VARA DO TRABALHO DE MONTENEGRO;46926;VT Montenegro
1A VARA DO TRABALHO DE NOVO HAMBURGO;46927;1ª Novo Hamburgo
2A VARA DO TRABALHO DE NOVO HAMBURGO;46928;2ª Novo Hamburgo
3A VARA DO TRABALHO DE NOVO HAMBURGO;46929;3ª Novo Hamburgo
